id,model,tone_score,tone_score_std,model_confidence_mean,chunks_scored
1,distilbert-base-uncased-finetuned-sst-2-english,0.7742034196853638,0.2232723832130432,0.7742034196853638,2
2,distilbert-base-uncased-finetuned-sst-2-english,-0.9901011884212494,0.0009419023990631104,0.9901011884212494,2
3,distilbert-base-uncased-finetuned-sst-2-english,-0.9883457303047181,0.011569433303768759,0.9883457303047181,5
4,distilbert-base-uncased-finetuned-sst-2-english,-0.9819042682647705,0.01797716282240796,0.9819042682647705,6
5,distilbert-base-uncased-finetuned-sst-2-english,0.26975444952646893,0.8995806530755025,0.9348440567652384,3
6,distilbert-base-uncased-finetuned-sst-2-english,-0.5112324804067612,0.8246903383536209,0.9697947055101395,4
7,distilbert-base-uncased-finetuned-sst-2-english,-0.99355149269104,8.249282836914062e-05,0.99355149269104,2
8,distilbert-base-uncased-finetuned-sst-2-english,-0.9965996146202087,0.0,0.9965996146202087,1
9,distilbert-base-uncased-finetuned-sst-2-english,-0.967858761548996,0.028083771467208862,0.967858761548996,2
10,distilbert-base-uncased-finetuned-sst-2-english,-0.9784427881240845,0.0156325101852417,0.9784427881240845,2
11,distilbert-base-uncased-finetuned-sst-2-english,-0.9855183561642965,0.011748353204949023,0.9855183561642965,3
12,distilbert-base-uncased-finetuned-sst-2-english,-0.9775674045085907,0.017635256052017212,0.9775674045085907,2
13,distilbert-base-uncased-finetuned-sst-2-english,-0.9862187504768372,0.0,0.9862187504768372,1
14,distilbert-base-uncased-finetuned-sst-2-english,0.8994166652361552,0.09686677105914675,0.8994166652361552,3
15,distilbert-base-uncased-finetuned-sst-2-english,0.17164120078086853,0.8252196609973907,0.8252196609973907,2
16,distilbert-base-uncased-finetuned-sst-2-english,-0.34547410408655804,0.9148260287366488,0.9776642521222433,3
17,distilbert-base-uncased-finetuned-sst-2-english,-0.09115663170814514,0.9055361449718475,0.9055361449718475,2
18,distilbert-base-uncased-finetuned-sst-2-english,-0.8856852451960245,0.14847921700472094,0.8856852451960245,3
19,distilbert-base-uncased-finetuned-sst-2-english,-0.9792992472648621,0.01501774787902832,0.9792992472648621,2
20,distilbert-base-uncased-finetuned-sst-2-english,-0.35006362199783325,0.8888182997645243,0.9546123544375101,3
21,distilbert-base-uncased-finetuned-sst-2-english,-0.9931507110595703,0.002770786570199459,0.9931507110595703,3
22,distilbert-base-uncased-finetuned-sst-2-english,0.3789344549179077,0.7488415741221871,0.8094566345214844,5
23,distilbert-base-uncased-finetuned-sst-2-english,-0.9790721535682678,0.0,0.9790721535682678,1
24,distilbert-base-uncased-finetuned-sst-2-english,0.5698317587375641,0.6947112032869605,0.884178231159846,6
25,distilbert-base-uncased-finetuned-sst-2-english,-0.802407443523407,0.0,0.802407443523407,1
26,distilbert-base-uncased-finetuned-sst-2-english,-0.36506299177805585,0.8932062900679374,0.9638102451960245,3
27,distilbert-base-uncased-finetuned-sst-2-english,-0.9230959812800089,0.07310124420675186,0.9230959812800089,3
28,distilbert-base-uncased-finetuned-sst-2-english,-0.9905911485354105,0.006725147138131884,0.9905911485354105,3
29,distilbert-base-uncased-finetuned-sst-2-english,0.24200332164764404,0.8766149569154916,0.9051913420359293,3
30,distilbert-base-uncased-finetuned-sst-2-english,-0.6608080565929413,0.6989891599673377,0.9613257547219595,6
31,distilbert-base-uncased-finetuned-sst-2-english,-0.9985275864601135,0.0004687309265136719,0.9985275864601135,2
32,distilbert-base-uncased-finetuned-sst-2-english,-0.843098521232605,0.19549455357976617,0.843098521232605,3
33,distilbert-base-uncased-finetuned-sst-2-english,-0.9971570173899332,0.0013649875677105392,0.9971570173899332,3
34,distilbert-base-uncased-finetuned-sst-2-english,-0.9954378604888916,0.0018343329429626465,0.9954378604888916,2
35,distilbert-base-uncased-finetuned-sst-2-english,0.18637993931770325,0.7687217891216278,0.7687217891216278,2
36,distilbert-base-uncased-finetuned-sst-2-english,-0.9972470800081888,0.0018650571276685175,0.9972470800081888,3
37,distilbert-base-uncased-finetuned-sst-2-english,-0.004975646734237671,0.9922838509082794,0.9922838509082794,2
38,distilbert-base-uncased-finetuned-sst-2-english,-0.33802006642023724,0.875916124100782,0.9384560386339823,3
39,distilbert-base-uncased-finetuned-sst-2-english,-0.9902304708957672,0.000425487756729126,0.9902304708957672,2
40,distilbert-base-uncased-finetuned-sst-2-english,-0.9970397353172302,0.0015624241652190695,0.9970397353172302,3
41,distilbert-base-uncased-finetuned-sst-2-english,-0.8370424807071686,0.12628868222236633,0.8370424807071686,2
42,distilbert-base-uncased-finetuned-sst-2-english,-0.5069750100374222,0.8307308528664598,0.9728851765394211,4
43,distilbert-base-uncased-finetuned-sst-2-english,-0.49712643027305603,0.8580584855914511,0.9916633367538452,4
44,distilbert-base-uncased-finetuned-sst-2-english,-0.9751836955547333,0.03178535971521398,0.9751836955547333,4
45,distilbert-base-uncased-finetuned-sst-2-english,-0.9643321633338928,0.03089262724101375,0.9643321633338928,3
